Individual	Technique	Scenario	Metric	Value
1	Cave com oculos	Dist Maior Tam Maior	Acertos	6
1	Cave com oculos	Dist Maior Tam Menor	Acertos	33
1	Cave com oculos	Dist Menor Tam Maior	Acertos	11
1	Cave com oculos	Dist Menor Tam Menor	Acertos	35
2	Cave com oculos	Dist Maior Tam Maior	Acertos	62
2	Cave com oculos	Dist Maior Tam Menor	Acertos	87
2	Cave com oculos	Dist Menor Tam Maior	Acertos	275
2	Cave com oculos	Dist Menor Tam Menor	Acertos	68
3	Cave com oculos	Dist Maior Tam Maior	Acertos	10
3	Cave com oculos	Dist Maior Tam Menor	Acertos	15
3	Cave com oculos	Dist Menor Tam Maior	Acertos	8
3	Cave com oculos	Dist Menor Tam Menor	Acertos	20
4	Cave com oculos	Dist Maior Tam Maior	Acertos	33
4	Cave com oculos	Dist Maior Tam Menor	Acertos	47
4	Cave com oculos	Dist Menor Tam Maior	Acertos	15
4	Cave com oculos	Dist Menor Tam Menor	Acertos	62
5	Cave com oculos	Dist Maior Tam Maior	Acertos	105
5	Cave com oculos	Dist Maior Tam Menor	Acertos	57
5	Cave com oculos	Dist Menor Tam Maior	Acertos	62
5	Cave com oculos	Dist Menor Tam Menor	Acertos	135
6	Cave com oculos	Dist Maior Tam Maior	Acertos	9
6	Cave com oculos	Dist Maior Tam Menor	Acertos	12
6	Cave com oculos	Dist Menor Tam Maior	Acertos	17
6	Cave com oculos	Dist Menor Tam Menor	Acertos	25
7	Cave com oculos	Dist Maior Tam Maior	Acertos	110
7	Cave com oculos	Dist Maior Tam Menor	Acertos	111
7	Cave com oculos	Dist Menor Tam Maior	Acertos	59
7	Cave com oculos	Dist Menor Tam Menor	Acertos	75
8	Cave com oculos	Dist Maior Tam Maior	Acertos	15
8	Cave com oculos	Dist Maior Tam Menor	Acertos	27
8	Cave com oculos	Dist Menor Tam Maior	Acertos	31
8	Cave com oculos	Dist Menor Tam Menor	Acertos	52
9	Cave com oculos	Dist Maior Tam Maior	Acertos	30
9	Cave com oculos	Dist Maior Tam Menor	Acertos	32
9	Cave com oculos	Dist Menor Tam Maior	Acertos	45
9	Cave com oculos	Dist Menor Tam Menor	Acertos	44
1	Cave sem oculos	Dist Maior Tam Maior	Acertos	28
1	Cave sem oculos	Dist Maior Tam Menor	Acertos	22
1	Cave sem oculos	Dist Menor Tam Maior	Acertos	53
1	Cave sem oculos	Dist Menor Tam Menor	Acertos	30
2	Cave sem oculos	Dist Maior Tam Maior	Acertos	48
2	Cave sem oculos	Dist Maior Tam Menor	Acertos	173
2	Cave sem oculos	Dist Menor Tam Maior	Acertos	187
2	Cave sem oculos	Dist Menor Tam Menor	Acertos	179
3	Cave sem oculos	Dist Maior Tam Maior	Acertos	23
3	Cave sem oculos	Dist Maior Tam Menor	Acertos	25
3	Cave sem oculos	Dist Menor Tam Maior	Acertos	37
3	Cave sem oculos	Dist Menor Tam Menor	Acertos	48
4	Cave sem oculos	Dist Maior Tam Maior	Acertos	65
4	Cave sem oculos	Dist Maior Tam Menor	Acertos	71
4	Cave sem oculos	Dist Menor Tam Maior	Acertos	53
4	Cave sem oculos	Dist Menor Tam Menor	Acertos	45
5	Cave sem oculos	Dist Maior Tam Maior	Acertos	100
5	Cave sem oculos	Dist Maior Tam Menor	Acertos	130
5	Cave sem oculos	Dist Menor Tam Maior	Acertos	57
5	Cave sem oculos	Dist Menor Tam Menor	Acertos	148
6	Cave sem oculos	Dist Maior Tam Maior	Acertos	27
6	Cave sem oculos	Dist Maior Tam Menor	Acertos	45
6	Cave sem oculos	Dist Menor Tam Maior	Acertos	38
6	Cave sem oculos	Dist Menor Tam Menor	Acertos	62
7	Cave sem oculos	Dist Maior Tam Maior	Acertos	100
7	Cave sem oculos	Dist Maior Tam Menor	Acertos	101
7	Cave sem oculos	Dist Menor Tam Maior	Acertos	115
7	Cave sem oculos	Dist Menor Tam Menor	Acertos	131
8	Cave sem oculos	Dist Maior Tam Maior	Acertos	57
8	Cave sem oculos	Dist Maior Tam Menor	Acertos	55
8	Cave sem oculos	Dist Menor Tam Maior	Acertos	38
8	Cave sem oculos	Dist Menor Tam Menor	Acertos	66
9	Cave sem oculos	Dist Maior Tam Maior	Acertos	67
9	Cave sem oculos	Dist Maior Tam Menor	Acertos	73
9	Cave sem oculos	Dist Menor Tam Maior	Acertos	44
9	Cave sem oculos	Dist Menor Tam Menor	Acertos	59
1	Cave com oculos	Dist Maior Tam Maior	Tempo	5
1	Cave com oculos	Dist Maior Tam Menor	Tempo	15
1	Cave com oculos	Dist Menor Tam Maior	Tempo	7
1	Cave com oculos	Dist Menor Tam Menor	Tempo	15
2	Cave com oculos	Dist Maior Tam Maior	Tempo	23
2	Cave com oculos	Dist Maior Tam Menor	Tempo	26
2	Cave com oculos	Dist Menor Tam Maior	Tempo	130
2	Cave com oculos	Dist Menor Tam Menor	Tempo	24
3	Cave com oculos	Dist Maior Tam Maior	Tempo	5
3	Cave com oculos	Dist Maior Tam Menor	Tempo	8
3	Cave com oculos	Dist Menor Tam Maior	Tempo	4
3	Cave com oculos	Dist Menor Tam Menor	Tempo	11
4	Cave com oculos	Dist Maior Tam Maior	Tempo	15
4	Cave com oculos	Dist Maior Tam Menor	Tempo	18
4	Cave com oculos	Dist Menor Tam Maior	Tempo	7
4	Cave com oculos	Dist Menor Tam Menor	Tempo	23
5	Cave com oculos	Dist Maior Tam Maior	Tempo	43
5	Cave com oculos	Dist Maior Tam Menor	Tempo	19
5	Cave com oculos	Dist Menor Tam Maior	Tempo	24
5	Cave com oculos	Dist Menor Tam Menor	Tempo	58
6	Cave com oculos	Dist Maior Tam Maior	Tempo	6
6	Cave com oculos	Dist Maior Tam Menor	Tempo	7
6	Cave com oculos	Dist Menor Tam Maior	Tempo	9
6	Cave com oculos	Dist Menor Tam Menor	Tempo	17
7	Cave com oculos	Dist Maior Tam Maior	Tempo	40
7	Cave com oculos	Dist Maior Tam Menor	Tempo	42
7	Cave com oculos	Dist Menor Tam Maior	Tempo	19
7	Cave com oculos	Dist Menor Tam Menor	Tempo	23
8	Cave com oculos	Dist Maior Tam Maior	Tempo	8
8	Cave com oculos	Dist Maior Tam Menor	Tempo	18
8	Cave com oculos	Dist Menor Tam Maior	Tempo	15
8	Cave com oculos	Dist Menor Tam Menor	Tempo	19
9	Cave com oculos	Dist Maior Tam Maior	Tempo	16
9	Cave com oculos	Dist Maior Tam Menor	Tempo	16
9	Cave com oculos	Dist Menor Tam Maior	Tempo	18
9	Cave com oculos	Dist Menor Tam Menor	Tempo	18
1	Cave sem oculos	Dist Maior Tam Maior	Tempo	13
1	Cave sem oculos	Dist Maior Tam Menor	Tempo	9
1	Cave sem oculos	Dist Menor Tam Maior	Tempo	19
1	Cave sem oculos	Dist Menor Tam Menor	Tempo	15
2	Cave sem oculos	Dist Maior Tam Maior	Tempo	18
2	Cave sem oculos	Dist Maior Tam Menor	Tempo	64
2	Cave sem oculos	Dist Menor Tam Maior	Tempo	66
2	Cave sem oculos	Dist Menor Tam Menor	Tempo	70
3	Cave sem oculos	Dist Maior Tam Maior	Tempo	12
3	Cave sem oculos	Dist Maior Tam Menor	Tempo	13
3	Cave sem oculos	Dist Menor Tam Maior	Tempo	16
3	Cave sem oculos	Dist Menor Tam Menor	Tempo	18
4	Cave sem oculos	Dist Maior Tam Maior	Tempo	23
4	Cave sem oculos	Dist Maior Tam Menor	Tempo	25
4	Cave sem oculos	Dist Menor Tam Maior	Tempo	21
4	Cave sem oculos	Dist Menor Tam Menor	Tempo	18
5	Cave sem oculos	Dist Maior Tam Maior	Tempo	44
5	Cave sem oculos	Dist Maior Tam Menor	Tempo	51
5	Cave sem oculos	Dist Menor Tam Maior	Tempo	19
5	Cave sem oculos	Dist Menor Tam Menor	Tempo	59
6	Cave sem oculos	Dist Maior Tam Maior	Tempo	14
6	Cave sem oculos	Dist Maior Tam Menor	Tempo	18
6	Cave sem oculos	Dist Menor Tam Maior	Tempo	15
6	Cave sem oculos	Dist Menor Tam Menor	Tempo	23
7	Cave sem oculos	Dist Maior Tam Maior	Tempo	38
7	Cave sem oculos	Dist Maior Tam Menor	Tempo	38
7	Cave sem oculos	Dist Menor Tam Maior	Tempo	42
7	Cave sem oculos	Dist Menor Tam Menor	Tempo	45
8	Cave sem oculos	Dist Maior Tam Maior	Tempo	19
8	Cave sem oculos	Dist Maior Tam Menor	Tempo	19
8	Cave sem oculos	Dist Menor Tam Maior	Tempo	17
8	Cave sem oculos	Dist Menor Tam Menor	Tempo	23
9	Cave sem oculos	Dist Maior Tam Maior	Tempo	24
9	Cave sem oculos	Dist Maior Tam Menor	Tempo	30
9	Cave sem oculos	Dist Menor Tam Maior	Tempo	18
9	Cave sem oculos	Dist Menor Tam Menor	Tempo	21
