Individual	Technique	Scenario	Metric	Value
1	Cave com oculos	Dist Maior Tam Maior	Erros	34
1	Cave com oculos	Dist Maior Tam Menor	Erros	31
1	Cave com oculos	Dist Menor Tam Maior	Erros	53
1	Cave com oculos	Dist Menor Tam Menor	Erros	40
2	Cave com oculos	Dist Maior Tam Maior	Erros	55
2	Cave com oculos	Dist Maior Tam Menor	Erros	64
2	Cave com oculos	Dist Menor Tam Maior	Erros	46
2	Cave com oculos	Dist Menor Tam Menor	Erros	24
3	Cave com oculos	Dist Maior Tam Maior	Erros	17
3	Cave com oculos	Dist Maior Tam Menor	Erros	35
3	Cave com oculos	Dist Menor Tam Maior	Erros	23
3	Cave com oculos	Dist Menor Tam Menor	Erros	22
4	Cave com oculos	Dist Maior Tam Maior	Erros	23
4	Cave com oculos	Dist Maior Tam Menor	Erros	22
4	Cave com oculos	Dist Menor Tam Maior	Erros	19
4	Cave com oculos	Dist Menor Tam Menor	Erros	12
5	Cave com oculos	Dist Maior Tam Maior	Erros	15
5	Cave com oculos	Dist Maior Tam Menor	Erros	17
5	Cave com oculos	Dist Menor Tam Maior	Erros	32
5	Cave com oculos	Dist Menor Tam Menor	Erros	25
6	Cave com oculos	Dist Maior Tam Maior	Erros	64
6	Cave com oculos	Dist Maior Tam Menor	Erros	58
6	Cave com oculos	Dist Menor Tam Maior	Erros	45
6	Cave com oculos	Dist Menor Tam Menor	Erros	50
7	Cave com oculos	Dist Maior Tam Maior	Erros	12
7	Cave com oculos	Dist Maior Tam Menor	Erros	15
7	Cave com oculos	Dist Menor Tam Maior	Erros	17
7	Cave com oculos	Dist Menor Tam Menor	Erros	20
8	Cave com oculos	Dist Maior Tam Maior	Erros	35
8	Cave com oculos	Dist Maior Tam Menor	Erros	50
8	Cave com oculos	Dist Menor Tam Maior	Erros	40
8	Cave com oculos	Dist Menor Tam Menor	Erros	45
9	Cave com oculos	Dist Maior Tam Maior	Erros	62
9	Cave com oculos	Dist Maior Tam Menor	Erros	57
9	Cave com oculos	Dist Menor Tam Maior	Erros	45
9	Cave com oculos	Dist Menor Tam Menor	Erros	32
1	Cave sem oculos	Dist Maior Tam Maior	Erros	18
1	Cave sem oculos	Dist Maior Tam Menor	Erros	21
1	Cave sem oculos	Dist Menor Tam Maior	Erros	35
1	Cave sem oculos	Dist Menor Tam Menor	Erros	48
2	Cave sem oculos	Dist Maior Tam Maior	Erros	39
2	Cave sem oculos	Dist Maior Tam Menor	Erros	20
