Individual	Technique	Metric	Value
1	Cave com oculos	1	8
1	Cave com oculos	2	4
1	Cave com oculos	3	7
1	Cave com oculos	4	6
1	Cave com oculos	5	8
1	Cave com oculos	6	9
1	Cave com oculos	7	9
1	Cave com oculos	8	6
1	Cave com oculos	9	8
1	Cave com oculos	10	9
1	Cave com oculos	11	9
1	Cave com oculos	12	10
1	Cave sem oculos	1	9
1	Cave sem oculos	2	7
1	Cave sem oculos	3	9
1	Cave sem oculos	4	8
1	Cave sem oculos	5	9
1	Cave sem oculos	6	8
1	Cave sem oculos	7	8
1	Cave sem oculos	8	9
1	Cave sem oculos	9	8
1	Cave sem oculos	10	8
1	Cave sem oculos	11	7
1	Cave sem oculos	12	9
2	Cave com oculos	1	9
2	Cave com oculos	2	4
2	Cave com oculos	3	6
2	Cave com oculos	4	7
2	Cave com oculos	5	9
2	Cave com oculos	6	8
2	Cave com oculos	7	9
2	Cave com oculos	8	6
2	Cave com oculos	9	7
2	Cave com oculos	10	7
2	Cave com oculos	11	9
2	Cave com oculos	12	8
2	Cave sem oculos	1	9
2	Cave sem oculos	2	3
2	Cave sem oculos	3	9
2	Cave sem oculos	4	8
2	Cave sem oculos	5	9
2	Cave sem oculos	6	9
2	Cave sem oculos	7	8
2	Cave sem oculos	8	9
2	Cave sem oculos	9	9
2	Cave sem oculos	10	6
2	Cave sem oculos	11	9
2	Cave sem oculos	12	9
3	Cave com oculos	1	6
3	Cave com oculos	2	9
3	Cave com oculos	3	8
3	Cave com oculos	4	7
3	Cave com oculos	5	9
3	Cave com oculos	6	7
3	Cave com oculos	7	9
3	Cave com oculos	8	8
3	Cave com oculos	9	7
3	Cave com oculos	10	6
3	Cave com oculos	11	9
3	Cave com oculos	12	9
3	Cave sem oculos	1	8
3	Cave sem oculos	2	8
3	Cave sem oculos	3	9
3	Cave sem oculos	4	3
3	Cave sem oculos	5	8
3	Cave sem oculos	6	5
3	Cave sem oculos	7	8
3	Cave sem oculos	8	7
3	Cave sem oculos	9	8
3	Cave sem oculos	10	9
3	Cave sem oculos	11	6
3	Cave sem oculos	12	9
4	Cave com oculos	1	6
4	Cave com oculos	2	5
4	Cave com oculos	3	4
4	Cave com oculos	4	5
4	Cave com oculos	5	7
4	Cave com oculos	6	10
4	Cave com oculos	7	5
4	Cave com oculos	8	5
4	Cave com oculos	9	4
4	Cave com oculos	10	10
4	Cave com oculos	11	10
4	Cave com oculos	12	7
4	Cave sem oculos	1	10
4	Cave sem oculos	2	9
4	Cave sem oculos	3	10
4	Cave sem oculos	4	10
4	Cave sem oculos	5	9
4	Cave sem oculos	6	10
4	Cave sem oculos	7	8
4	Cave sem oculos	8	10
4	Cave sem oculos	9	8
4	Cave sem oculos	10	9
4	Cave sem oculos	11	10
4	Cave sem oculos	12	10
5	Cave com oculos	1	9
5	Cave com oculos	2	6
5	Cave com oculos	3	9
5	Cave com oculos	4	9
5	Cave com oculos	5	8
5	Cave com oculos	6	7
5	Cave com oculos	7	8
5	Cave com oculos	8	7
5	Cave com oculos	9	7
5	Cave com oculos	10	8
5	Cave com oculos	11	7
5	Cave com oculos	12	5
5	Cave sem oculos	1	9
5	Cave sem oculos	2	9
5	Cave sem oculos	3	10
5	Cave sem oculos	4	10
5	Cave sem oculos	5	9
5	Cave sem oculos	6	8
5	Cave sem oculos	7	7
5	Cave sem oculos	8	9
5	Cave sem oculos	9	8
5	Cave sem oculos	10	8
