Individual	Technique	Metric	Value
1	Cave com oculos	1	7
1	Cave com oculos	2	7
1	Cave com oculos	3	9
1	Cave com oculos	4	7
1	Cave com oculos	5	6
1	Cave com oculos	6	8
1	Cave com oculos	7	9
1	Cave com oculos	8	9
1	Cave com oculos	9	8
1	Cave com oculos	10	8
1	Cave com oculos	11	7
1	Cave com oculos	12	8
1	Cave sem oculos	1	9
1	Cave sem oculos	2	10
1	Cave sem oculos	3	10
1	Cave sem oculos	4	9
1	Cave sem oculos	5	8
1	Cave sem oculos	6	9
1	Cave sem oculos	7	9
1	Cave sem oculos	8	10
1	Cave sem oculos	9	10
1	Cave sem oculos	10	10
1	Cave sem oculos	11	10
1	Cave sem oculos	12	9
2	Cave com oculos	1	5
2	Cave com oculos	2	4
2	Cave com oculos	3	5
2	Cave com oculos	4	6
2	Cave com oculos	5	8
2	Cave com oculos	6	6
2	Cave com oculos	7	5
2	Cave com oculos	8	7
2	Cave com oculos	9	7
2	Cave com oculos	10	7
2	Cave com oculos	11	6
2	Cave com oculos	12	2
2	Cave sem oculos	1	8
2	Cave sem oculos	2	5
2	Cave sem oculos	3	7
2	Cave sem oculos	4	8
2	Cave sem oculos	5	8
2	Cave sem oculos	6	6
2	Cave sem oculos	7	7
2	Cave sem oculos	8	6
2	Cave sem oculos	9	8
2	Cave sem oculos	10	9
2	Cave sem oculos	11	8
2	Cave sem oculos	12	8
3	Cave com oculos	1	4
3	Cave com oculos	2	6
3	Cave com oculos	3	10
3	Cave com oculos	4	6
3	Cave com oculos	5	8
3	Cave com oculos	6	9
3	Cave com oculos	7	8
3	Cave com oculos	8	6
3	Cave com oculos	9	9
3	Cave com oculos	10	8
3	Cave com oculos	11	9
3	Cave com oculos	12	7
3	Cave sem oculos	1	9
3	Cave sem oculos	2	9
3	Cave sem oculos	3	9
3	Cave sem oculos	4	6
3	Cave sem oculos	5	10
3	Cave sem oculos	6	10
3	Cave sem oculos	7	8
3	Cave sem oculos	8	10
3	Cave sem oculos	9	9
3	Cave sem oculos	10	9
3	Cave sem oculos	11	9
3	Cave sem oculos	12	9
4	Cave com oculos	1	5
4	Cave com oculos	2	4
4	Cave com oculos	3	7
4	Cave com oculos	4	8
4	Cave com oculos	5	9
4	Cave com oculos	6	9
4	Cave com oculos	7	7
4	Cave com oculos	8	7
